manual_species,count,contributing_species_split,species_split_english,not_a_species_but_a,resolved_order,resolved_family,resolved_genus,resolved_species,resolved_scientific_name,common_name_text,common_name_language,manually_resolved,needs_manual_review,review_reason,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxonomy_changes_needed
syska,1,syska,,,Lamiales,Lamiaceae,Stachys,sp.,,syskor,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Ballota, Moluccella, Stachys","genus (suffix, ambiguous)",,,,,,,,,,syska,"Ballota, Moluccella, Stachys",,,,,,,new Swedish common name 'syskor'
stenbär,1,stenbär,Greenland thornless blackberry,,Rosales,Rosaceae,Rubus,saxatilis,Rubus saxatilis,stenbär,2.0,,False,,species (common name),stenbär,Rubus saxatilis,Plantae,2992808.0,Rubus saxatilis,SPECIES,EXACT,99.0,https://www.gbif.org/species/2992808,stenbär,,carried-over (species_split_taxa_gbif_matches.csv),Rubus,Rosaceae,Rosales,Plantae,Rubus saxatilis,"new taxon 'Rubus saxatilis' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'stenbär'"
triticum vulgare,1,triticum vulgare,,,Poales,Poaceae,Triticum,sp.,Triticum sp.,,,TRUE,True,no Swedish or English common name text available to attach,genus (latin),,,Plantae,7541363.0,Triticum vulgare,SPECIES,EXACT,99.0,,triticum vulgare,,species/match,Triticum,Poaceae,Poales,Plantae,triticum vulgare,no common name
torsk,1,torsk,Atlantic Cod,,Gadiformes,Gadidae,Gadus,morhua,Gadus morhua,torsk,2.0,,False,,animal (common name),torsk,Gadus morhua,Animalia,8084280.0,Gadus morhua,SPECIES,EXACT,100.0,https://www.gbif.org/species/8084280,torsk,,carried-over (species_split_taxa_gbif_matches.csv),Gadus,Gadidae,Gadiformes,Animalia,Gadus morhua,new order 'Gadiformes'; new family 'Gadidae'; new genus 'Gadus'; new taxon 'Gadus morhua' (author_id NULL); new Swedish common name 'torsk'
ticka,1,ticka,Lovage,,Apiales,Apiaceae,Levisticum,indet.,Levisticum indet.,ticka,2.0,,False,,genus (suffix-inferred),,,Plantae,5371771.0,Levisticum,GENUS,EXACT,96.0,https://www.gbif.org/species/5371771,ticka,,carried-over (species_split_taxa_gbif_matches.csv),Levisticum,Apiaceae,Apiales,Plantae,Levisticum,new taxon 'Levisticum indet.' (author_id NULL); new Swedish common name 'ticka'
triticum monococcum,1,triticum monococcum,Einkorn,,Poales,Poaceae,Triticum,monococcum,Triticum monococcum,Einkorn,1.0,,False,,species (latin),,Triticum monococcum,Plantae,7883427.0,Triticum monococcum,SPECIES,EXACT,100.0,,triticum monococcum,,species/match,Triticum,Poaceae,Poales,Plantae,Triticum monococcum,new English common name 'Einkorn'
triticum spelta,1,triticum spelta,Spelt,,Poales,Poaceae,Triticum,spelta,Triticum spelta,Spelt,1.0,,False,,species (latin),,Triticum spelta,Plantae,2706402.0,Triticum spelta,SPECIES,EXACT,100.0,,triticum spelta,,species/match,Triticum,Poaceae,Poales,Plantae,Triticum spelta,new English common name 'Spelt'
vattenklöver,1,vattenklöver,Bog-bean,,Asterales,Menyanthaceae,Menyanthes,trifoliata,Menyanthes trifoliata,vattenklöver,2.0,,False,,species (common name),vattenklöver,Menyanthes trifoliata,Plantae,5341511.0,Menyanthes trifoliata,SPECIES,EXACT,100.0,https://www.gbif.org/species/5341511,vattenklöver,,carried-over (species_split_taxa_gbif_matches.csv),Menyanthes,Menyanthaceae,Asterales,Plantae,Menyanthes trifoliata,"new taxon 'Menyanthes trifoliata' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'vattenklöver'"
tuvull,1,tuvull,Cottongrass,,Poales,Cyperaceae,Eriophorum,vaginatum,Eriophorum vaginatum,tuvull,2.0,,False,,species (common name),tuvull,Eriophorum vaginatum,Plantae,2730185.0,Eriophorum vaginatum,SPECIES,EXACT,99.0,https://www.gbif.org/species/2730185,tuvull,,carried-over (species_split_taxa_gbif_matches.csv),Eriophorum,Cyperaceae,Poales,Plantae,Eriophorum vaginatum,"new taxon 'Eriophorum vaginatum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'tuvull'"
vattenstäkra,1,vattenstäkra,Fine-Leaved Water-Dropwort,,Apiales,Apiaceae,Oenanthe,aquatica,Oenanthe aquatica,vattenstäkra,2.0,,False,,species (common name),vattenstäkra,Oenanthe aquatica,Plantae,5371888.0,Oenanthe aquatica,SPECIES,EXACT,99.0,https://www.gbif.org/species/5371888,vattenstäkra,,carried-over (species_split_taxa_gbif_matches.csv),Oenanthe,Apiaceae,Apiales,Plantae,Oenanthe aquatica,"new taxon 'Oenanthe aquatica' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'vattenstäkra'"
vial,1,vial,Pea,,Fabales,Fabaceae,Lathyrus,indet.,Lathyrus indet.,vial,2.0,,False,,genus (suffix-inferred),,,Plantae,10356062.0,Lathyrus,GENUS,EXACT,96.0,https://www.gbif.org/species/10356062,vial,,carried-over (species_split_taxa_gbif_matches.csv),Lathyrus,Fabaceae,Fabales,Plantae,Lathyrus,new taxon 'Lathyrus indet.' (author_id NULL); new Swedish common name 'vial'
vinväxter,1,vindruvskärna,,,Vitales,Vitaceae,Vitaceae indet,indet.,Vitaceae indet indet.,vinväxter,2.0,TRUE,True,weak GBIF match (VERNACULAR),gbif only (no prior SEAD anchor),,,Plantae,160006746.0,Vitaceae,FAMILY,VERNACULAR,,,vinväxter,,species/search (vernacular),,Vitaceae,Vitales,Plantae,,new order 'Vitales'; new genus 'Vitaceae indet'; new taxon 'Vitaceae indet indet.' (author_id NULL); new Swedish common name 'vinväxter'
åkerbinda,1,åkerbinda,Black Bindweed,,Caryophyllales,Polygonaceae,Fallopia,convolvulus,Fallopia convolvulus,åkerbinda,2.0,,False,,species (common name),åkerbinda,Fallopia convolvulus,Plantae,6391461.0,Fallopia convolvulus,SPECIES,EXACT,100.0,https://www.gbif.org/species/6391461,åkerbinda,,carried-over (species_split_taxa_gbif_matches.csv),Fallopia,Polygonaceae,Caryophyllales,Plantae,Fallopia convolvulus,new Swedish common name 'åkerbinda'
åkerkrassling,1,åkerkrassling,,,Brassicales,Brassicaceae,Lepidium,indet.,Lepidium indet.,åkerkrassing,2.0,,True,no GBIF or SEAD match at any rank,,,,,,,,,,,åkerkrassling,,,,,,,,new taxon 'indet.' (author_id NULL); new Swedish common name 'åkerkrassing'
åkerpilört,1,åkerpilört,,,Caryophyllales,Polygonaceae,Persicaria,maculosa ssp maculosa,Persicaria maculosa ssp maculosa,åkerpilört,2.0,TRUE,False,,species (common name),åkerpilört,Persicaria maculosa ssp maculosa,Plantae,7291447.0,Persicaria maculosa maculosa,VARIETY,EXACT,96.0,https://www.gbif.org/species/7291447,åkerpilört,,carried-over (species_split_taxa_gbif_matches.csv),Persicaria,Polygonaceae,Caryophyllales,Plantae,Persicaria maculosa ssp maculosa,
